user_id,restaurant_id,visit_date,rating
1,3,2023-06-15,yes
10,4,2023-12-06,no
11,8,2023-11-03,no
12,17,2023-08-09,meh
13,1,2023-01-10,no
14,15,2023-07-23,no
15,5,2023-02-02,yes
16,15,2023-08-10,yes
17,14,2023-05-27,no
18,9,2023-01-18,None
19,7,2023-06-29,None
20,8,2023-12-11,no
21,12,2023-12-29,None
22,17,2023-08-28,None
23,7,2023-07-06,meh
24,19,2023-11-04,None
25,19,2023-03-16,None
26,14,2023-07-27,yes
27,8,2023-12-07,yes
28,8,2023-09-20,None
29,11,2023-03-20,yes
30,19,2023-09-20,no
31,8,2023-09-05,None
32,3,2023-11-12,yes
33,4,2023-09-26,yes
34,19,2023-07-04,meh
35,13,2023-11-09,yes
36,19,2023-07-22,None
37,4,2023-11-17,no
38,12,2023-07-31,yes
39,16,2023-07-07,None
40,1,2023-05-29,no
41,12,2023-08-05,None
42,2,2023-11-11,meh
43,17,2023-02-17,yes
44,8,2023-09-02,yes
45,4,2023-12-23,no
46,9,2023-04-11,yes
47,5,2023-06-27,yes
48,10,2023-05-28,no
49,1,2023-03-03,None
50,1,2023-07-11,no
51,20,2023-12-20,yes
52,17,2023-08-21,yes
53,3,2023-05-27,yes
54,9,2023-05-10,yes
55,12,2023-04-19,no
56,20,2023-10-30,meh
57,4,2023-11-05,None
58,17,2023-03-04,None
59,1,2023-06-03,None
60,7,2023-01-21,yes
61,2,2023-01-18,yes
62,17,2023-05-25,no
63,5,2023-10-31,None
64,17,2023-06-20,no
65,7,2023-12-24,yes
66,18,2023-05-18,no
67,19,2023-07-08,yes
68,15,2023-11-21,yes
69,5,2023-07-18,no
70,1,2023-10-07,no
71,17,2023-09-19,yes
72,1,2023-03-29,None
73,5,2023-07-01,None
74,3,2023-07-14,None
75,20,2023-01-16,yes
76,12,2023-05-04,no
77,14,2023-01-07,yes
78,20,2023-06-26,None
79,13,2023-10-05,no
80,3,2023-09-11,yes
81,6,2023-09-11,yes
82,19,2023-04-18,no
83,10,2023-09-26,no
84,16,2023-12-16,None
85,11,2023-10-16,None
86,16,2023-02-17,None
87,12,2023-02-25,no
88,19,2023-04-18,no
89,2,2023-09-28,no
90,17,2023-04-10,None
91,20,2023-10-06,yes
92,13,2023-04-16,no
93,19,2023-06-11,yes
94,9,2023-06-10,None
95,20,2023-06-30,meh
96,10,2023-03-25,None
97,3,2023-05-11,None
98,9,2023-01-02,no
99,14,2023-08-20,None
100,5,2023-08-10,yes
101,18,2023-08-27,meh
102,9,2023-09-17,None
103,1,2023-10-04,None
104,16,2023-08-24,no
105,9,2023-12-09,None
106,16,2023-11-09,yes
107,20,2023-04-03,meh
108,4,2023-02-12,yes
